Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Patent citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Sustainable Development Goals (2021),Topic Cluster name,Topic Cluster number,Topic name,Topic number,Topic Cluster Prominence Percentile,Topic Prominence Percentile
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy,"Firmino, M.| Angelo, G.| Morais, H.| Dantas, M.R.| Valentim, R.",5,35772365700| 55336691400| 25626432200| 55312645300| 35606294400,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil,2204| 2502| 2741| 3614,"Biomedical Engineering| Biomaterials| Radiology, Nuclear Medicine and Imaging| Radiological and Ultrasound Technology",SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Accurate Two-Terminal Transmission Line Fault Location Using Traveling Waves,"Lopes, F.V.| Dantas, K.M.| Silva, K.M.| Costa, F.B.",4,55700698000| 55939576900| 9744170000| 22333585200,2018,2018-04-01,IEEE Transactions on Power Delivery,33,2,873-880,-,ISSN-08858977,17370,Journal,2.44,4,8.2,6,1.844,5,3.22,73,96,7.22,12.05,1,2,0,"Lopes, F.V., Dantas, K.M., Silva, K.M. and 1 more (...) (2018).Accurate Two-Terminal Transmission Line Fault Location Using Traveling Waves. IEEE Transactions on Power Delivery,33(2) 873-880",https://www.scopus.com/record/display.url?eid=2-s2.0-85044354717&origin=resultslist,10.1109/TPWRD.2017.2711262,Article,,2-s2.0-85044354717,-,Universidade Federal de Campina Grande| Universidade de Brasília| Universidade Federal do Rio Grande do Norte,3,60024989| 60003709| 60023857,Universidade de Brasília| Universidade Federal de Campina Grande| Universidade Federal do Rio Grande do Norte,55700698000,22333585200,55700698000,-,Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Electric Fault Location,Fault Detection,Power Lines",1374,64.883,97.068
Accelerometer-based human fall detection using convolutional neural networks,"Santos, G.L.| Endo, P.T.| Monteiro, K.H.C.| Rocha, E.D.S.| Silva, I.| Lynn, T.",6,57195960665| 36160299900| 57206669777| 57201277232| 36537969500| 25825321500,2019,2019-04-01,Sensors (Switzerland),19,7,-,1644,ISSN-14248220,130124,Journal,1.62,11,5,13,0.653,24,1.84,41,82,8.71,9.41,1,1,0,"Santos, G.L., Endo, P.T., Monteiro, K.H.C. and 3 more (...) (2019).Accelerometer-based human fall detection using convolutional neural networks. Sensors (Switzerland),19(7) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85064532574&origin=resultslist,10.3390/s19071644,Article,Gold|Green,2-s2.0-85064532574,30959877,Universidade de Pernambuco| Universidade Federal de Pernambuco| Dublin Business School| Dublin City University| Universidade Federal do Rio Grande do Norte,5,60031482| 60021980| 60025059| 60005342| 60023857,Universidade Federal de Pernambuco| Universidade de Pernambuco| Dublin City University| Dublin Business School| Universidade Federal do Rio Grande do Norte,57195960665,25825321500,36160299900,-,Ireland| Brazil,1303| 1602| 1710| 2208| 3105| 3107,"Biochemistry| Analytical Chemistry| Information Systems| Electrical and Electronic Engineering| Instrumentation| Atomic and Molecular Physics, and Optics",-,"Sensors,Accelerometers,Smartphones",880,"Activity Recognition,Wearable Sensors,Sensor",4240,72.91,99.468
Smart Detection: An Online Approach for DoS/DDoS Attack Detection Using Machine Learning,"Lima Filho, F.S.D.| Silveira, F.A.F.| De Medeiros Brito Junior, A.| Vargas-Solar, G.| Silveira, L.F.",5,57216152589| 57216156011| 57198355339| 14632835700| 56363591700,2019,2019-01-01,Security and Communication Networks,2019,-,-,1574749,ISSN-19390114,18000156707,Journal,1.13,25,4.2,24,0.458,37,0.6,15,66,6.74,9.79,2,2,0,"Lima Filho, F.S.D., Silveira, F.A.F., De Medeiros Brito Junior, A. and 2 more (...) (2019).Smart Detection: An Online Approach for DoS/DDoS Attack Detection Using Machine Learning. Security and Communication Networks,2019",https://www.scopus.com/record/display.url?eid=2-s2.0-85078853432&origin=resultslist,10.1155/2019/1574749,Article,Gold,2-s2.0-85078853432,-,CNRS| Universidade Federal do Rio Grande do Norte| Université Grenoble Alpes,3,60023857| 60108044| 60108044,Universidade Federal do Rio Grande do Norte| Laboratoire d'Informatique de Grenoble| Laboratoire d'Informatique de Grenoble,57216152589,56363591700,57216152589,-,France| Brazil,1705| 1710,Computer Networks and Communications| Information Systems,SDG 9,"Computer Crime,Network Security,Intrusion Detection",218,"Denial-Of-Service Attack,DDoS,Attack",1234,95.518,97.225
A Wavelet-Based Transformer Differential Protection with Differential Current Transformer Saturation and Cross-Country Fault Detection,"Medeiros, R.P.| Costa, F.B.",2,56682611600| 22333585200,2018,2018-04-01,IEEE Transactions on Power Delivery,33,2,789-799,-,ISSN-08858977,17370,Journal,2.44,4,8.2,6,1.844,5,0.66,15,65,4.65,12.05,2,4,0,"Medeiros, R.P., Costa, F.B. (2018).A Wavelet-Based Transformer Differential Protection with Differential Current Transformer Saturation and Cross-Country Fault Detection. IEEE Transactions on Power Delivery,33(2) 789-799",https://www.scopus.com/record/display.url?eid=2-s2.0-85032433407&origin=resultslist,10.1109/TPWRD.2017.2764062,Article,,2-s2.0-85032433407,-,Universidade Federal do Rio Grande do Norte,1,60023857,Universidade Federal do Rio Grande do Norte,56682611600,22333585200,56682611600,-,Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Power Transformer,Electric Instrument Transformers,Electric Fault Currents",5219,64.883,90.632
An evolving approach to unsupervised and Real-Time fault detection in industrial processes,"Bezerra, C.G.| Costa, B.S.J.| Guedes, L.A.| Angelov, P.P.",4,55314704100| 25122100700| 35761038800| 7003690831,2016,2016-11-30,Expert Systems with Applications,63,-,134-144,-,ISSN-09574174,24201,Journal,2.51,3,8.2,1,1.343,7,2.3,64,63,4.24,7.54,4,4,0,"Bezerra, C.G., Costa, B.S.J., Guedes, L.A. and 1 more (...) (2016).An evolving approach to unsupervised and Real-Time fault detection in industrial processes. Expert Systems with Applications,63134-144",https://www.scopus.com/record/display.url?eid=2-s2.0-84977118041&origin=resultslist,10.1016/j.eswa.2016.06.035,Article,Green,2-s2.0-84977118041,-,Universidad Carlos III de Madrid| Lancaster University| Universidade Federal do Rio Grande do Norte,3,112659637| 60023857| 60117772| 60023643| 60001741,"Federal Institute of Rio Grande do Norte| Universidade Federal do Rio Grande do Norte| School of Computing and Communications, Lancaster University| Lancaster University| Universidad Carlos III de Madrid",55314704100,7003690831,55314704100,-,United Kingdom| Spain| Brazil,1702| 1706| 2200,Artificial Intelligence| Computer Science Applications| General Engineering,SDG 9,"Fuzzy Systems,Fuzzy Inference,Neural Networks",573,"Fuzzy Modeling,Data Streams,Artificial Intelligence",19733,59.599,93.461
Power transformer differential protection using the boundary discrete wavelet transform,"Medeiros, R.P.| Costa, F.B.| Silva, K.M.",3,56682611600| 22333585200| 9744170000,2016,2016-10-01,IEEE Transactions on Power Delivery,31,5,2083-2095,7369980,ISSN-08858977,17370,Journal,2.53,3,7,5,1.634,6,0.7,22,58,3.14,9.88,4,7,0,"Medeiros, R.P., Costa, F.B., Silva, K.M. (2016).Power transformer differential protection using the boundary discrete wavelet transform. IEEE Transactions on Power Delivery,31(5) 2083-2095",https://www.scopus.com/record/display.url?eid=2-s2.0-84989171943&origin=resultslist,10.1109/TPWRD.2015.2513778,Article,,2-s2.0-84989171943,-,Universidade de Brasília| Universidade Federal do Rio Grande do Norte,2,60023857| 60024989,Universidade Federal do Rio Grande do Norte| Universidade de Brasília,56682611600,9744170000,-,-,Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Power Transformer,Electric Instrument Transformers,Electric Fault Currents",5219,64.883,90.632
A survey on unmanned surface vehicles for disaster robotics: Main challenges and directions,"Jorge, V.A.M.| Granada, R.| Maidana, R.G.| Jurak, D.A.| Heck, G.| Negreiros, A.P.F.| dos Santos, D.H.| Gonçalves, L.M.G.| Amory, A.M.",9,36175720000| 27567732800| 57202464093| 57205746473| 55315861700| 56131277200| 57190606005| 8843298100| 8293027500,2018,2018-02-01,Sensors (Switzerland),19,3,-,702,ISSN-14248220,130124,Journal,1.62,10,4.3,18,0.592,26,1.5,65,55,1.92,27.55,3,14,0,"Jorge, V.A.M., Granada, R., Maidana, R.G. and 6 more (...) (2018).A survey on unmanned surface vehicles for disaster robotics: Main challenges and directions. Sensors (Switzerland),19(3) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85061386877&origin=resultslist,10.3390/s19030702,Review,Gold|Green,2-s2.0-85061386877,30744069,Pontifícia Universidade Católica do Rio Grande do Sul| Instituto Tecnológico de Aeronáutica| Universidade Federal do Rio Grande do Norte,3,60015760| 60023857| 60021657,Pontifícia Universidade Católica do Rio Grande do Sul| Universidade Federal do Rio Grande do Norte| Instituto Tecnologico de Aeronautica,36175720000,8293027500,36175720000,-,Brazil,1303| 1602| 1710| 2208| 3105| 3107,"Biochemistry| Analytical Chemistry| Information Systems| Electrical and Electronic Engineering| Instrumentation| Atomic and Molecular Physics, and Optics",-,"Human Engineering,Ergonomics,Automation",588,"Search and Rescue,Teleoperators,Unmanned Aerial Vehicle",12699,67.96,93.727
Real-time power measurement using the maximal overlap discrete wavelet-packet transform,"Alves, D.K.| Costa, F.B.| Lucio De Araujo Ribeiro, R.| Martins De Sousa Neto, C.| De Oliveira Alves Rocha, T.",5,56597608500| 22333585200| 57193949292| 55608630500| 55570200500,2017,2017-04-01,IEEE Transactions on Industrial Electronics,64,4,3177-3187,7778195,ISSN-02780046,26053,Journal,3.33,2,14.4,2,2.192,3,1.07,22,53,2.91,10.98,4,8,0,"Alves, D.K., Costa, F.B., Lucio De Araujo Ribeiro, R. and 2 more (...) (2017).Real-time power measurement using the maximal overlap discrete wavelet-packet transform. IEEE Transactions on Industrial Electronics,64(4) 3177-3187",https://www.scopus.com/record/display.url?eid=2-s2.0-85017625234&origin=resultslist,10.1109/TIE.2016.2637304,Article,,2-s2.0-85017625234,-,Universidade de Pernambuco| Universidade Federal de Pernambuco| Universidade Federal do Rio Grande do Norte,3,60023857| 60021980| 60031482,Universidade Federal do Rio Grande do Norte| Universidade de Pernambuco| Universidade Federal de Pernambuco,56597608500,55570200500,-,-,Brazil,2207| 2208,Control and Systems Engineering| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Inverter,Relay Protection,Electric Fault Currents",31512,64.883,79.146
Overcurrent Protection in Distribution Systems with Distributed Generation Based on the Real-Time Boundary Wavelet Transform,"Costa, F.B.| Monti, A.| Paiva, S.C.",3,22333585200| 57203094797| 56597645600,2017,2017-02-01,IEEE Transactions on Power Delivery,32,1,462-473,-,ISSN-08858977,17370,Journal,2.24,4,7.4,7,1.814,5,1.15,31,52,3.69,11.11,4,5,0,"Costa, F.B., Monti, A., Paiva, S.C. (2017).Overcurrent Protection in Distribution Systems with Distributed Generation Based on the Real-Time Boundary Wavelet Transform. IEEE Transactions on Power Delivery,32(1) 462-473",https://www.scopus.com/record/display.url?eid=2-s2.0-85027508109&origin=resultslist,10.1109/TPWRD.2015.2509460,Article,,2-s2.0-85027508109,-,RWTH Aachen University| Universidade Federal do Rio Grande do Norte,2,60023857| 60016653,Universidade Federal do Rio Grande do Norte| Rheinisch-Westfälische Technische Hochschule Aachen,22333585200,56597645600,-,-,Germany| Brazil,2102| 2208,Energy Engineering and Power Technology| Electrical and Electronic Engineering,-,"Electric Fault Location,Electric Lines,Electric Power Distribution",407,"Overcurrent Protection,Microgrid,Fault Current Limiters",7005,64.883,97.884
