Scopus Author Ids,Authors
 10244785400,"[' Amado, A.M.', ' Amado, A.M.', ' Amado, A.M.', ' Amado, A.M.', ' Amado, A.M.']"
 12759644500,"[' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.', ' Aloise, D.']"
 14010018700,"[' Henriques, J.', ' Henriques, J.']"
 14632835700,"[' Vargas-Solar, G.', ' Vargas-Solar, G.']"
 14833107600,"[' Sarmento, H.', ' Sarmento, H.', ' Sarmento, H.', ' Sarmento, H.', ' Sarmento, H.']"
 14834340200,"[' Lock, A.S.', ' Lock, A.S.', ' Lock, A.S.']"
 15046381300,"[' Da Mata, W.', ' Da Mata, W.']"
 15520790700,"[' Bedregal, B.R.C.', ' Bedregal, B.R.C.', ' Bedregal, B.R.C.']"
 15623233300,"[' Doppler, K.', ' Doppler, K.']"
 15844865900,"[' Colombini, E.L.', ' Colombini, E.L.', ' Colombini, E.L.']"
 15922490800,"[' Freire, R.C.S.', ' Freire, R.C.S.', ' Freire, R.C.S.', ' Freire, R.C.S.']"
 15925100000,"[' Cavalcante, A.M.', ' Cavalcante, A.M.']"
 16178518600,"[' Silva, S.G.', ' Silva, S.G.', ' Silva, S.G.', ' Silva, S.G.']"
 16309023400,"[' de Siqueira Campos, A.L.P.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.', ' Campos, A.L.P.S.']"
 17433450200,"[' Cacho, N.', ' Cacho, N.', ' Cacho, N.', ' Cacho, N.', ' Cacho, N.', ' Cacho, N.', ' Cacho, N.', ' Cacho, N.']"
 18038159700,"[' Nascimento, T.P.', ' Nascimento, T.P.', ' Nascimento, T.P.', ' Nascimento, T.P.', ' Nascimento, T.P.', ' Nascimento, T.P.', ' Do Nascimento, T.P.', ' Do Nascimento, T.P.']"
 20435623900,"[' de Araújo, T.M.U.', ' de Araújo, T.M.U.', ' de Araújo, T.M.U.', ' de Araújo, T.M.U.']"
 22035595500,"[' Macedo, E.C.T.', ' Macedo, E.C.T.', ' Macedo, E.C.T.']"
 22333585200,"[' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.', ' Costa, F.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.', ' Costa, F.B.']"
 22981074500,"[' Parente, A.', ' Parente, A.']"
 23003296600,"[' Carcagnì, P.', ' Carcagnì, P.', ' Carcagnì, P.', ' Carcagnì, P.', ' Carcagnì, P.', ' Carcagnì, P.']"
 23391153700,"[' Tuomaala, E.', ' Tuomaala, E.']"
 23391989300,"[' Eder, K.', ' Eder, K.', ' Eder, K.', ' Eder, K.', ' Eder, K.', ' Eder, K.', ' Eder, K.']"
 23396733500,"[' Gomes, R.B.', ' Gomes, R.B.', ' Gomes, R.B.', ' Gomes, R.B.', ' Gomes, R.B.', ' Gomes, R.B.']"
 23570181900,"[' Trimpe, S.', ' Trimpe, S.', ' Trimpe, S.', ' Trimpe, S.', ' Trimpe, S.', ' Trimpe, S.']"
 23666364500,"[' Brandao, D.', ' Brandao, D.']"
 24280915800,"[' Blanchard, S.J.', ' Blanchard, S.J.', ' Blanchard, S.J.', ' Blanchard, S.J.']"
 24450364400,"[' Clua, E.W.G.', ' Clua, E.W.G.', ' Clua, E.W.G.', ' Clua, E.W.G.', ' Clua, E.W.G.']"
 24477983100,"[' Rinaldi, S.', ' Rinaldi, S.', ' Rinaldi, S.', ' Rinaldi, S.', ' Rinaldi, S.']"
 24490519000,"[' Aroca, R.V.', ' Aroca, R.V.', ' Aroca, R.V.', ' Aroca, R.V.', ' Aroca, R.V.', ' Aroca, R.V.']"
 24722389500,"[' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.R.C.', ' Silva, D.R.C.', ' Silva, D.R.C.', ' Silva, D.R.C.', ' Silva, D.R.C.', ' Silva, D.R.C.', ' Silva, D.R.C.', ' Silva, D.R.C.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.', ' Silva, D.']"
 24765979000,"[' Hartmann, L.V.', ' Hartmann, L.V.', ' Hartmann, L.V.']"
 24776461300,"[' Muller, I.', ' Muller, I.']"
 24777116800,"[' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.', ' Sisinni, E.']"
 24824131200,"[' Azevedo, S.O.', ' Azevedo, S.O.']"
 25031664100,"[' Pazelli, T.F.', ' Pazelli, T.F.', ' Pazelli, T.F.']"
 25122100700,"[' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.', ' Costa, B.S.J.']"
 25522440300,"[' Merola, F.', ' Merola, F.', ' Merola, F.', ' Merola, F.', ' Merola, F.', ' Merola, F.']"
 25626432200,"[' Morais, H.', ' Morais, H.', ' Morais, H.', ' Morais, H.', ' Morais, A.H.F.', ' Morais, A.H.F.', ' Morais, A.H.F.', ' Morais, A.H.F.']"
 25825321500,"[' Lynn, T.', ' Lynn, T.', ' Lynn, T.', ' Lynn, T.', ' Lynn, T.', ' Lynn, T.']"
 25927437400,"[' Rocha, C.', ' Rocha, C.', ' Rocha, C.', ' Rocha, C.']"
 26032523300,"[' Contardo, C.', ' Contardo, C.', ' Contardo, C.', ' Contardo, C.']"
 26323075500,"[' de Souza Filho, G.L.', ' de Souza Filho, G.L.', ' de Souza Filho, G.L.', ' de Souza Filho, G.L.']"
 26425215900,"[' Maniçoba, R.H.C.', ' Maniçoba, R.H.C.', ' Maniçoba, R.H.C.', ' Maniçoba, R.H.C.', ' Maniçoba, R.H.C.']"
 26648296900,"[' Gil, I.', ' Gil, I.']"
 26665599000,"[' Neto, P.A.S.', ' Neto, P.A.S.', ' Neto, P.A.S.']"
 26665750100,"[' Villanueva, J.M.M.', ' Villanueva, J.M.M.', ' Villanueva, J.M.M.']"
 27567732800,"[' Granada, R.', ' Granada, R.', ' Granada, R.', ' Granada, R.', ' Granada, R.', ' Granada, R.']"
 35091013200,"[' Branco, D.A.C.', ' Branco, D.A.C.', ' Branco, D.A.C.', ' Branco, D.A.C.', ' Branco, D.A.C.']"
 35098602800,"[' Heeren, D.M.', ' Heeren, D.M.', ' Heeren, D.M.']"
 35146691800,"[' Allysson Felipe Rodrigues, M.', ' Allysson Felipe Rodrigues, M.']"
 35193888200,"[' Fernandes, R.', ' Fernandes, R.']"
 35278840700,"[' Pantaleo, A.M.', ' Pantaleo, A.M.']"
