Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Patent citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Sustainable Development Goals (2021),Topic Cluster name,Topic Cluster number,Topic name,Topic number,Topic Cluster Prominence Percentile,Topic Prominence Percentile
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy,"Firmino, M.",5,35772365700,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil,2204,Biomedical Engineering,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Angelo, G.",5, 55336691400,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil,2204,Biomedical Engineering,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Morais, H.",5, 25626432200,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil,2204,Biomedical Engineering,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Dantas, M.R.",5, 55312645300,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil,2204,Biomedical Engineering,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Valentim, R.",5, 35606294400,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil,2204,Biomedical Engineering,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy,"Firmino, M.",5,35772365700,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil, 2502, Biomaterials,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Angelo, G.",5, 55336691400,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil, 2502, Biomaterials,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Morais, H.",5, 25626432200,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil, 2502, Biomaterials,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Dantas, M.R.",5, 55312645300,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil, 2502, Biomaterials,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy," Valentim, R.",5, 35606294400,2016,2016-01-06,BioMedical Engineering Online,15,1,-,2,ISSN-1475925X,28586,Journal,1.17,21,3.4,32,0.572,39,1.17,33,132,8.36,8.97,1,1,10,"Firmino, M., Angelo, G., Morais, H. and 2 more (...) (2016).Computer-aided detection (CADe) and diagnosis (CADx) system for lung cancer with likelihood of malignancy. BioMedical Engineering Online,15(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-84954402867&origin=resultslist,10.1186/s12938-015-0120-7,Article,Gold|Green,2-s2.0-84954402867,26759159,-,0,112659637| 101016282,Federal Institute of Rio Grande do Norte| Onofre Lopes University Hospital,35772365700,35606294400,35772365700,-,Brazil, 2502, Biomaterials,SDG 3,"Non-Small-Cell Lung Carcinoma,Lung Neoplasms,Patients",124,"Biological Organs,Computer-Aided Detection,CT Image",4538,95.117,98.796
